,Comuna,Partido,Porc_Pres,Porc_DipNac,Porc_JefGob,Porc_Com1,Porc_Com2,Porc_Com3,Porc_Com4,Porc_Com5,Porc_Com6,Porc_Com7,Porc_Com8,Porc_Com9,Porc_Com10,Porc_Com11,Porc_Com12,Porc_Com13,Porc_Com14,Porc_Com15
120,COMUNA 11,OTROS,1.72,3.99,2.02,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.95,0.0,0.0,0.0,0.0
121,COMUNA 12,FIT,4.06,4.9,4.16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.56,0.0,0.0,0.0
122,COMUNA 12,FDT,30.1,28.42,29.19,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.62,0.0,0.0,0.0
123,COMUNA 12,JXC,45.39,46.23,47.75,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.93,0.0,0.0,0.0
124,COMUNA 12,CF,9.74,8.37,8.01,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.92,0.0,0.0,0.0
125,COMUNA 12,ULD,3.88,3.28,0.04,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,COMUNA 12,NOS,1.07,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,COMUNA 12,BLANCO,3.1,3.74,7.54,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.29,0.0,0.0,0.0
128,COMUNA 12,NULO,1.0,0.99,0.97,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.0,0.0,0.0
129,COMUNA 12,RECURRIDO,0.02,0.02,0.02,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0
130,COMUNA 12,IMPUGNADO,0.02,0.02,0.02,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0
131,COMUNA 12,OTROS,1.93,4.52,2.45,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0
132,COMUNA 13,FIT,3.23,4.14,3.29,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.61,0.0,0.0
133,COMUNA 13,FDT,21.55,20.2,20.92,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.6,0.0,0.0
134,COMUNA 13,JXC,57.64,58.01,59.95,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.04,0.0,0.0
135,COMUNA 13,CF,7.68,6.47,6.17,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.04,0.0,0.0
136,COMUNA 13,ULD,3.75,3.21,0.03,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,COMUNA 13,NOS,1.1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,COMUNA 13,BLANCO,2.9,3.47,6.98,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,0.0,0.0
139,COMUNA 13,NULO,0.84,0.82,0.76,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0
140,COMUNA 13,RECURRIDO,0.02,0.03,0.02,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
141,COMUNA 13,IMPUGNADO,0.01,0.01,0.01,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
142,COMUNA 13,OTROS,1.84,4.68,2.16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74,0.0,0.0
143,COMUNA 14,FIT,2.98,3.87,3.13,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.51,0.0
144,COMUNA 14,FDT,22.71,21.23,22.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.45,0.0
145,COMUNA 14,JXC,58.04,58.18,59.84,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.72,0.0
146,COMUNA 14,CF,7.03,5.92,5.66,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.52,0.0
147,COMUNA 14,ULD,3.4,2.93,0.06,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,COMUNA 14,NOS,1.13,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,COMUNA 14,BLANCO,2.62,3.4,6.83,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.25,0.0
150,COMUNA 14,NULO,0.78,0.8,0.73,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0
151,COMUNA 14,RECURRIDO,0.02,0.02,0.02,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0
152,COMUNA 14,IMPUGNADO,0.02,0.01,0.01,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0
153,COMUNA 14,OTROS,1.75,4.3,2.38,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.21,0.0
154,COMUNA 15,FIT,4.74,6.1,4.93,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1
